Date,Open,High,Low,Close
2022-10-03,213.0,214.65,209.0,210.8
2022-10-04,212.1,212.35,208.0,208.45
2022-10-06,208.85,210.9,205.6,206.3
2022-10-07,204.0,209.75,204.0,209.4
2022-10-10,207.95,211.95,207.55,208.95
2022-10-11,210.0,211.45,206.55,208.35
2022-10-12,210.45,215.95,209.35,215.55
2022-10-13,214.95,217.3,213.25,213.95
2022-10-14,218.0,218.0,211.55,212.65
2022-10-17,211.95,214.95,211.0,211.85
2022-10-18,212.95,215.0,211.55,212.35
2022-10-19,213.0,216.9,212.95,213.9
2022-10-20,212.55,218.0,212.35,217.5
2022-10-21,215.35,218.9,214.0,217.3
2022-10-24,219.8,220.25,218.6,218.85
2022-10-25,218.85,219.4,214.25,218.5
2022-10-27,219.3,224.85,217.35,223.9
2022-10-28,223.8,229.0,223.2,226.8
2022-10-31,227.95,230.25,226.7,228.15
